result_id,poll_date,poll_agency,party_shortname,poll_result,moving_average
450,2016-11-10,AKO,KDH,5.6,5.9
58,2016-12-01,Focus,KDH,5.9,5.9
460,2016-12-09,AKO,KDH,5.5,5.7
469,2017-01-10,AKO,KDH,7.1,6.2
68,2017-02-02,Focus,KDH,5.3,6.0
480,2017-02-14,AKO,KDH,5.6,6.0
78,2017-02-23,Focus,KDH,5.5,5.5
490,2017-03-15,AKO,KDH,5.1,5.4
88,2017-04-12,Focus,KDH,5.4,5.3
500,2017-04-26,AKO,KDH,6.2,5.6
98,2017-06-08,Focus,KDH,5.7,5.8
510,2017-06-19,AKO,KDH,6.0,6.0
520,2017-07-19,AKO,KDH,6.8,6.2
107,2017-07-26,Focus,KDH,6.3,6.4
117,2017-08-21,Focus,KDH,6.4,6.5
530,2017-09-20,AKO,KDH,5.1,5.9
127,2017-10-16,Focus,KDH,7.3,6.3
539,2017-11-18,AKO,KDH,7.0,6.5
137,2017-11-28,Focus,KDH,7.2,7.2
147,2018-01-31,Focus,KDH,7.4,7.2
549,2018-02-26,AKO,KDH,7.7,7.4
158,2018-03-14,Focus,KDH,7.0,7.4
560,2018-04-07,AKO,KDH,8.6,7.8
