result_id,poll_date,poll_agency,party_shortname,poll_result,moving_average
327,2019-09-10,Focus,DOBRÁ VOĽBA,2.1,2.1
693,2019-10-10,AKO,DOBRÁ VOĽBA,1.7,1.9
339,2019-10-27,Focus,DOBRÁ VOĽBA,2.4,2.1
353,2019-11-09,Focus,DOBRÁ VOĽBA,2.9,2.3
705,2019-11-25,AKO,DOBRÁ VOĽBA,3.2,2.8
365,2019-12-12,Focus,DOBRÁ VOĽBA,3.8,3.3
718,2020-01-10,AKO,DOBRÁ VOĽBA,3.2,3.4
378,2020-01-16,Focus,DOBRÁ VOĽBA,3.3,3.4
391,2020-01-26,Focus,DOBRÁ VOĽBA,4.0,3.5
9,2016-03-23,Focus,KDH,4.1,4.1
400,2016-04-07,AKO,KDH,4.4,4.3
410,2016-05-10,AKO,KDH,4.2,4.2
18,2016-05-12,Focus,KDH,4.3,4.3
28,2016-06-22,Focus,KDH,4.8,4.4
420,2016-07-28,AKO,KDH,4.1,4.4
38,2016-08-19,Focus,KDH,4.6,4.5
430,2016-09-20,AKO,KDH,4.2,4.3
440,2016-10-22,AKO,KDH,5.9,4.9
48,2016-11-10,Focus,KDH,6.3,5.5
